year,lon,lat,edge_density,building_coverage,texture_entropy,ssim,resnet_cosine_dist,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total,d_edge_density,d_building_coverage,d_texture_entropy,d_building_count,d_building_area_mean,d_amenity_count,d_shop_count,d_leisure_count,d_poi_diversity,d_road_length_total
2023,120.615,24.165,0.172797619047619,0.2313060897435897,3.248682505565713,0.0085409623656063,0.7786731719970703,8,920.154602697568,2,0,0,-0.0,0.0,0.172797619047619,0.2313060897435897,3.248682505565713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.165,0.1576470924908425,0.2125812728937729,3.1570154808286413,0.538122564911668,0.05606210231781,8,920.154602697568,2,0,0,-0.0,0.0,-0.015150526556776511,-0.018724816849816805,-0.09166702473707167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.165,0.1778891941391941,0.2162740384615384,3.1929894245827564,0.7076228824263171,0.025987684726715,8,850.1486777353946,2,0,0,-0.0,0.0,0.020242101648351607,0.003692765567765488,0.03597394375411511,0.0,-70.00592496217337,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.175,0.0,0.0,0.0,,,17,930.9984648830329,1,1,0,1.0,0.0,,,,,,,,,,
2019,120.615,24.175,0.0898901098901098,0.2179395604395604,3.057814523351013,0.0030949728522362,0.7623566389083862,22,1193.4567072928664,5,1,0,0.6500224216483541,0.0,0.0898901098901098,0.2179395604395604,3.057814523351013,5.0,262.4582424098336,4.0,0.0,0.0,-0.3499775783516459,0.0
2020,120.615,24.175,0.1531410256410256,0.2293200549450549,3.207545219496278,0.6913664288428606,0.0546687841415405,24,1134.8334400938822,5,1,0,0.6500224216483541,0.0,0.0632509157509158,0.011380494505494498,0.14973069614526535,2.0,-58.623267198984195,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.175,0.1700148809523809,0.2156444597069597,3.27647956829018,0.8660653140620382,0.027254045009613,36,858.7959369216192,5,1,0,0.6500224216483541,0.0,0.016873855311355296,-0.013675595238095195,0.06893434879390181,12.0,-276.0375031722631,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.175,0.0,0.0,0.0,0.0022756103107283,0.7916317582130432,94,489.653010789382,9,2,0,0.6840384356390417,0.0,-0.1700148809523809,-0.2156444597069597,-3.27647956829018,58.0,-369.14292613223716,4.0,1.0,0.0,0.034016013990687544,0.0
2023,120.615,24.175,0.1918646978021978,0.2436973443223443,3.299178002541675,0.0068089976259382,0.7662157416343689,95,485.4648843317996,9,2,0,0.6840384356390417,0.0,0.1918646978021978,0.2436973443223443,3.299178002541675,1.0,-4.188126457582371,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.175,0.1726121794871795,0.2305454441391941,3.2316709275267383,0.5106128009005426,0.0396018028259277,101,522.9056399513587,9,2,0,0.6840384356390417,0.0,-0.019252518315018313,-0.013151900183150211,-0.06750707501493647,6.0,37.44075561955907,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.175,0.1952300824175824,0.2367164606227106,3.2630714040753017,0.6870837372235079,0.0261124372482299,103,638.22200315547,9,2,0,0.6840384356390417,0.0,0.022617902930402917,0.006171016483516506,0.03140047654856337,2.0,115.31636320411133,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.185,0.0,0.0,0.0,,,75,958.6913469012944,19,15,0,0.9899927915575186,0.0,,,,,,,,,,
2019,120.615,24.185,0.0772624771062271,0.1444184981684981,3.0276354176674616,0.0024932322888802,0.7963312864303589,127,765.5841474710356,16,17,0,0.9993375041688848,0.0,0.0772624771062271,0.1444184981684981,3.0276354176674616,52.0,-193.1071994302588,-3.0,2.0,0.0,0.009344712611366157,0.0
2020,120.615,24.185,0.1341111492673992,0.2137625915750916,3.179840454401841,0.6694470333750745,0.1142451167106628,130,787.6510382618885,15,16,0,0.9992492479956564,0.0,0.05684867216117209,0.06934409340659348,0.15220503673437946,3.0,22.06689079085288,-1.0,-1.0,0.0,-8.825617322838486e-05,0.0
2021,120.615,24.185,0.1536618589743589,0.2079080815018315,3.260949034719479,0.8415153791545558,0.0303199291229248,131,801.1811827155417,13,17,2,1.2627317300909384,0.0,0.019550709706959712,-0.0058545100732601,0.0811085803176379,1.0,13.530144453653179,-2.0,1.0,2.0,0.263482482095282,0.0
2022,120.615,24.185,0.0,0.0,0.0,0.002155775572071,0.7771491408348083,164,673.7333206936859,10,16,2,1.2638091738835462,0.0,-0.1536618589743589,-0.2079080815018315,-3.260949034719479,33.0,-127.44786202185583,-3.0,-1.0,0.0,0.0010774437926077685,0.0
2023,120.615,24.185,0.1761275183150183,0.2369013278388278,3.284081803357233,0.0066035083576942,0.7849777936935425,185,625.3579028376666,13,17,2,1.2627317300909384,0.0,0.1761275183150183,0.2369013278388278,3.284081803357233,21.0,-48.375417856019226,3.0,1.0,0.0,-0.0010774437926077685,0.0
2024,120.615,24.185,0.155137934981685,0.222538347069597,3.1896804531475973,0.5102736253052411,0.0569791793823242,190,606.3829078530197,13,17,2,1.2627317300909384,0.0,-0.02098958333333331,-0.014362980769230815,-0.09440135020963591,5.0,-18.97499498464697,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.185,0.1754029304029304,0.2249181547619047,3.225018936096496,0.6937218755646731,0.0436055064201355,188,597.790884235715,12,17,2,1.2604408810349512,0.0,0.020264995421245408,0.002379807692307695,0.03533848294889852,-2.0,-8.592023617304676,-1.0,0.0,0.0,-0.0022908490559871986,0.0
2018,120.615,24.195,0.0,0.0,0.0,,,28,656.8591565953308,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.195,0.0625789835164835,0.0846022206959706,2.922557672796897,0.0025883187734062,0.7766543030738831,29,1050.572725689159,1,0,0,-0.0,0.0,0.0625789835164835,0.0846022206959706,2.922557672796897,1.0,393.71356909382814,1.0,0.0,0.0,-0.0,0.0
2020,120.615,24.195,0.1055975274725274,0.2192198946886447,3.090539622617089,0.6804586096156431,0.1033611893653869,33,3795.3843349806334,1,0,0,-0.0,0.0,0.0430185439560439,0.1346176739926741,0.167981949820192,4.0,2744.8116092914743,0.0,0.0,0.0,0.0,0.0
